,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised,likelihood
10907,172.16.1.52,172.16.1.196,622.0,1612983825.0,100.0,1,1.0,0.25809128630705397
14408,172.16.1.52,172.16.1.196,655.0,1612984808.0,100.0,1,1.0,0.2717842323651452
14399,172.16.1.52,172.16.1.196,650.0,1612984804.0,100.0,1,1.0,0.2697095435684647
14397,172.16.1.196,172.16.1.52,650.0,1612984804.0,100.0,1,1.0,0.2697095435684647
14366,172.16.1.52,172.16.1.196,579.0,1612984792.0,100.0,1,1.0,0.24024896265560167
14364,172.16.1.196,172.16.1.52,579.0,1612984792.0,100.0,1,1.0,0.24024896265560167
14356,172.16.1.52,172.16.1.196,648.0,1612984788.0,100.0,1,1.0,0.2688796680497925
14354,172.16.1.196,172.16.1.52,648.0,1612984788.0,100.0,1,1.0,0.2688796680497925
14331,172.16.1.52,172.16.1.196,444.0,1612984784.0,100.0,1,1.0,0.18423236514522823
14329,172.16.1.196,172.16.1.52,444.0,1612984784.0,100.0,1,1.0,0.18423236514522823
14287,172.16.1.52,172.16.1.196,681.0,1612984773.0,100.0,1,1.0,0.2825726141078838
14286,172.16.1.196,172.16.1.52,681.0,1612984773.0,100.0,1,1.0,0.2825726141078838
14267,172.16.1.52,172.16.1.196,678.0,1612984737.0,100.0,1,1.0,0.2813278008298755
14266,172.16.1.196,172.16.1.52,678.0,1612984737.0,100.0,1,1.0,0.2813278008298755
14265,172.16.1.52,172.16.1.196,642.0,1612984736.0,100.0,1,1.0,0.26639004149377593
14264,172.16.1.196,172.16.1.52,642.0,1612984736.0,100.0,1,1.0,0.26639004149377593
14217,172.16.1.52,172.16.1.196,616.0,1612984724.0,100.0,1,1.0,0.2556016597510373
14407,172.16.1.196,172.16.1.52,655.0,1612984808.0,100.0,1,1.0,0.2717842323651452
14459,172.16.1.196,172.16.1.52,674.0,1612984817.0,100.0,1,1.0,0.2796680497925311
14666,172.16.1.196,172.16.1.52,618.0,1612984868.0,100.0,1,1.0,0.2564315352697095
14461,172.16.1.52,172.16.1.196,674.0,1612984817.0,100.0,1,1.0,0.2796680497925311
14656,172.16.1.196,172.16.1.52,840.0,1612984865.0,100.0,1,1.0,0.34854771784232363
14637,172.16.1.52,172.16.1.196,417.0,1612984861.0,100.0,1,1.0,0.17302904564315352
14636,172.16.1.196,172.16.1.52,417.0,1612984861.0,100.0,1,1.0,0.17302904564315352
14619,172.16.1.52,172.16.1.196,621.0,1612984852.0,100.0,1,1.0,0.2576763485477178
14617,172.16.1.196,172.16.1.52,621.0,1612984852.0,100.0,1,1.0,0.2576763485477178
14606,172.16.1.52,172.16.1.196,661.0,1612984849.0,100.0,1,1.0,0.27427385892116185
14605,172.16.1.196,172.16.1.52,661.0,1612984849.0,100.0,1,1.0,0.27427385892116185
8187,10.3.252.33,172.16.1.245,999.0,1612982860.0,100.0,1,1.0,0.4145228215767635
8189,172.16.1.245,10.3.252.33,999.0,1612982860.0,100.0,1,1.0,0.4145228215767635
14560,172.16.1.52,172.16.1.196,598.0,1612984841.0,100.0,1,1.0,0.24813278008298756
14556,172.16.1.196,172.16.1.52,598.0,1612984841.0,100.0,1,1.0,0.24813278008298756
14514,172.16.1.52,172.16.1.196,1263.0,1612984828.0,100.0,1,1.0,0.5240663900414938
14511,172.16.1.196,172.16.1.52,1263.0,1612984828.0,100.0,1,1.0,0.5240663900414938
14478,172.16.1.52,172.16.1.196,428.0,1612984820.0,100.0,1,1.0,0.17759336099585063
14477,172.16.1.196,172.16.1.52,428.0,1612984820.0,100.0,1,1.0,0.17759336099585063
14211,172.16.1.196,172.16.1.52,616.0,1612984724.0,100.0,1,1.0,0.2556016597510373
14189,172.16.1.52,172.16.1.196,828.0,1612984721.0,100.0,1,1.0,0.34356846473029046
14186,172.16.1.196,172.16.1.52,828.0,1612984721.0,100.0,1,1.0,0.34356846473029046
14145,172.16.1.52,172.16.1.196,684.0,1612984713.0,100.0,1,1.0,0.2838174273858921
13937,172.16.1.196,172.16.1.52,770.0,1612984661.0,100.0,1,1.0,0.31950207468879666
13908,172.16.1.52,172.16.1.196,1174.0,1612984653.0,100.0,1,1.0,0.4871369294605809
13906,172.16.1.196,172.16.1.52,1174.0,1612984653.0,100.0,1,1.0,0.4871369294605809
13889,172.16.1.52,172.16.1.196,666.0,1612984648.0,100.0,1,1.0,0.27634854771784234
13888,172.16.1.196,172.16.1.52,666.0,1612984648.0,100.0,1,1.0,0.27634854771784234
13856,172.16.1.52,172.16.1.196,685.0,1612984641.0,100.0,1,1.0,0.2842323651452282
13854,172.16.1.196,172.16.1.52,685.0,1612984641.0,100.0,1,1.0,0.2842323651452282
13813,172.16.1.52,172.16.1.196,668.0,1612984629.0,100.0,1,1.0,0.27717842323651454
13811,172.16.1.196,172.16.1.52,668.0,1612984629.0,100.0,1,1.0,0.27717842323651454
13795,172.16.1.52,172.16.1.196,832.0,1612984625.0,100.0,1,1.0,0.34522821576763485
13793,172.16.1.196,172.16.1.52,832.0,1612984625.0,100.0,1,1.0,0.34522821576763485
13778,172.16.1.52,172.16.1.196,605.0,1612984617.0,100.0,1,1.0,0.25103734439834025
13777,172.16.1.196,172.16.1.52,605.0,1612984617.0,100.0,1,1.0,0.25103734439834025
8775,172.16.1.196,172.16.1.52,513.0,1612983020.0,100.0,1,1.0,0.21286307053941908
8776,172.16.1.52,172.16.1.196,513.0,1612983020.0,100.0,1,1.0,0.21286307053941908
13940,172.16.1.52,172.16.1.196,768.0,1612984661.0,100.0,1,1.0,0.31867219917012446
13969,172.16.1.196,172.16.1.52,1558.0,1612984665.0,100.0,1,1.0,0.6464730290456432
13971,172.16.1.52,172.16.1.196,1558.0,1612984665.0,100.0,1,1.0,0.6464730290456432
14065,172.16.1.196,172.16.1.52,644.0,1612984692.0,100.0,1,1.0,0.2672199170124481
14144,172.16.1.196,172.16.1.52,684.0,1612984713.0,100.0,1,1.0,0.2838174273858921
14121,172.16.1.52,172.16.1.196,878.0,1612984705.0,100.0,1,1.0,0.3643153526970954
14120,172.16.1.196,172.16.1.52,878.0,1612984705.0,100.0,1,1.0,0.3643153526970954
14089,172.16.1.52,172.16.1.196,614.0,1612984700.0,100.0,1,1.0,0.25477178423236513
14088,172.16.1.196,172.16.1.52,614.0,1612984700.0,100.0,1,1.0,0.25477178423236513
14067,172.16.1.52,172.16.1.196,644.0,1612984692.0,100.0,1,1.0,0.2672199170124481
14035,172.16.1.52,172.16.1.196,859.0,1612984684.0,100.0,1,1.0,0.35643153526970955
13976,172.16.1.196,172.16.1.52,648.0,1612984668.0,100.0,1,1.0,0.2688796680497925
14034,172.16.1.196,172.16.1.52,859.0,1612984684.0,100.0,1,1.0,0.35643153526970955
14028,172.16.1.52,172.16.1.196,645.0,1612984681.0,100.0,1,1.0,0.2676348547717842
14026,172.16.1.196,172.16.1.52,645.0,1612984681.0,100.0,1,1.0,0.2676348547717842
14002,172.16.1.52,172.16.1.196,1016.0,1612984674.0,100.0,1,1.0,0.4215767634854772
14000,172.16.1.196,172.16.1.52,1016.0,1612984674.0,100.0,1,1.0,0.4215767634854772
13977,172.16.1.52,172.16.1.196,648.0,1612984668.0,100.0,1,1.0,0.2688796680497925
14657,172.16.1.52,172.16.1.196,840.0,1612984865.0,100.0,1,1.0,0.34854771784232363
14667,172.16.1.52,172.16.1.196,618.0,1612984868.0,100.0,1,1.0,0.2564315352697095
13763,172.16.1.196,172.16.1.52,601.0,1612984612.0,100.0,1,1.0,0.24937759336099585
15340,172.16.1.52,172.16.1.196,661.0,1612985049.0,100.0,1,1.0,0.27427385892116185
15316,172.16.1.52,172.16.1.196,625.0,1612985042.0,100.0,1,1.0,0.25933609958506226
15313,172.16.1.196,172.16.1.52,625.0,1612985042.0,100.0,1,1.0,0.25933609958506226
15308,172.16.1.52,172.16.1.196,418.0,1612985041.0,100.0,1,1.0,0.17344398340248962
