,sourceIP,destIP,numOfRequest,time,acceptanceRate
0,172.16.1.196,172.16.1.52,5.0,1612980720.0,100.0
1,172.16.1.52,172.16.1.196,5.0,1612980720.0,100.0
2,172.16.1.52,50.230.35.38,4.0,1612980720.0,100.0
3,50.230.35.38,172.16.1.52,4.0,1612980720.0,100.0
4,10.3.252.99,172.16.1.196,5.0,1612980721.0,100.0
5,172.16.1.196,10.3.252.99,5.0,1612980721.0,100.0
6,172.16.1.196,172.16.1.52,4.0,1612980721.0,100.0
7,172.16.1.196,172.16.1.96,1.0,1612980721.0,100.0
8,172.16.1.52,172.16.1.196,4.0,1612980721.0,100.0
9,172.16.1.96,172.16.1.196,1.0,1612980721.0,100.0
10,172.16.1.178,172.16.1.224,2.0,1612980722.0,100.0
11,172.16.1.224,172.16.1.178,2.0,1612980722.0,100.0
12,172.16.1.10,140.82.113.4,1.0,1612980723.0,100.0
13,172.16.1.10,172.16.1.250,1.0,1612980723.0,100.0
14,172.16.1.241,172.16.1.10,1.0,1612980723.0,100.0
15,172.16.1.168,172.16.1.162,1.0,1612980724.0,100.0
16,172.16.1.144,172.16.1.173,1.0,1612980725.0,100.0
17,172.16.1.173,172.16.1.144,1.0,1612980725.0,100.0
18,10.3.252.20,172.16.1.181,1.0,1612980726.0,100.0
19,10.3.252.33,172.16.1.181,1.0,1612980726.0,100.0
20,172.16.1.181,10.3.252.20,1.0,1612980726.0,100.0
21,172.16.1.181,10.3.252.33,1.0,1612980726.0,100.0
22,172.16.1.196,172.16.1.52,1.0,1612980728.0,100.0
23,172.16.1.52,172.16.1.196,1.0,1612980728.0,100.0
24,172.16.1.52,50.230.35.38,11.0,1612980728.0,100.0
25,194.147.140.42,172.16.1.52,1.0,1612980728.0,0.0
26,50.230.35.38,172.16.1.52,11.0,1612980728.0,100.0
27,10.3.252.33,172.16.1.215,1.0,1612980729.0,100.0
28,10.3.252.33,172.16.1.215,3.0,1612980730.0,100.0
29,140.82.113.4,172.16.1.252,1.0,1612980730.0,100.0
30,172.16.1.162,172.16.1.168,1.0,1612980730.0,100.0
31,172.16.1.168,172.16.1.162,1.0,1612980730.0,100.0
32,172.16.1.252,140.82.113.4,1.0,1612980730.0,100.0
33,172.16.1.10,172.16.1.173,1.0,1612980731.0,100.0
34,172.16.1.173,172.16.1.10,1.0,1612980731.0,100.0
35,172.16.1.215,10.3.252.33,1.0,1612980731.0,100.0
36,172.16.1.241,35.168.5.6,1.0,1612980731.0,100.0
37,35.168.5.6,172.16.1.241,1.0,1612980731.0,100.0
38,52.46.150.26,172.16.1.10,1.0,1612980731.0,100.0
39,10.3.252.99,172.16.1.196,16.0,1612980732.0,100.0
40,172.105.197.151,172.16.1.109,1.0,1612980732.0,0.0
41,172.16.1.10,52.46.155.31,1.0,1612980732.0,100.0
42,172.16.1.109,172.16.1.250,2.0,1612980732.0,100.0
43,172.16.1.173,172.16.1.10,1.0,1612980732.0,100.0
44,172.16.1.196,10.3.252.99,16.0,1612980732.0,100.0
45,172.16.1.196,172.16.1.52,3.0,1612980732.0,100.0
46,172.16.1.196,172.16.1.96,1.0,1612980732.0,100.0
47,172.16.1.250,172.16.1.109,2.0,1612980732.0,100.0
48,172.16.1.52,172.16.1.196,3.0,1612980732.0,100.0
49,172.16.1.96,172.16.1.196,1.0,1612980732.0,100.0
50,194.147.140.104,172.16.1.96,1.0,1612980732.0,0.0
51,45.146.164.211,172.16.1.96,1.0,1612980732.0,0.0
52,89.248.165.51,172.16.1.96,1.0,1612980732.0,0.0
53,172.16.1.173,172.16.1.198,1.0,1612980733.0,100.0
54,172.16.1.10,194.177.34.116,1.0,1612980734.0,100.0
55,172.16.1.10,34.205.216.173,1.0,1612980734.0,100.0
56,172.16.1.162,172.16.1.168,3.0,1612980734.0,100.0
57,172.16.1.168,172.16.1.162,3.0,1612980734.0,100.0
58,172.16.1.173,172.16.1.10,1.0,1612980734.0,100.0
59,172.16.1.215,10.3.252.33,1.0,1612980734.0,100.0
60,35.168.5.6,172.16.1.10,1.0,1612980734.0,100.0
61,140.82.114.3,172.16.1.10,1.0,1612980736.0,100.0
62,172.16.1.10,172.16.1.173,3.0,1612980736.0,100.0
63,172.16.1.10,172.16.1.252,1.0,1612980736.0,100.0
64,172.16.1.10,52.46.159.128,1.0,1612980736.0,100.0
65,172.16.1.10,64.251.10.152,1.0,1612980736.0,100.0
66,172.16.1.144,172.16.1.173,1.0,1612980736.0,100.0
67,172.16.1.173,172.16.1.10,1.0,1612980736.0,100.0
68,172.16.1.173,172.16.1.144,1.0,1612980736.0,100.0
69,172.16.1.250,172.16.1.10,1.0,1612980736.0,100.0
70,189.226.26.128,172.16.1.10,1.0,1612980736.0,100.0
71,52.46.143.44,172.16.1.10,1.0,1612980736.0,100.0
72,52.46.144.93,172.16.1.10,1.0,1612980736.0,100.0
73,52.46.158.105,172.16.1.10,1.0,1612980736.0,100.0
74,84.38.186.69,172.16.1.10,1.0,1612980736.0,100.0
75,172.16.1.173,172.16.1.198,5.0,1612980739.0,100.0
76,172.16.1.198,172.16.1.173,3.0,1612980739.0,100.0
77,172.16.1.245,216.240.36.24,1.0,1612980739.0,100.0
78,216.240.36.24,172.16.1.245,1.0,1612980739.0,100.0
79,144.202.45.212,172.16.1.36,1.0,1612980740.0,0.0
80,172.16.1.10,172.16.1.173,1.0,1612980740.0,100.0
81,172.16.1.148,172.16.1.187,1.0,1612980740.0,100.0
82,172.16.1.187,172.16.1.148,1.0,1612980740.0,100.0
83,172.16.1.36,52.44.104.29,1.0,1612980740.0,100.0
84,194.147.140.17,172.16.1.10,1.0,1612980740.0,100.0
85,52.44.104.29,172.16.1.36,1.0,1612980740.0,100.0
86,172.16.1.148,172.16.1.187,2.0,1612980741.0,100.0
87,172.16.1.176,172.16.1.187,1.0,1612980741.0,100.0
88,172.16.1.187,172.16.1.148,2.0,1612980741.0,100.0
89,172.16.1.187,172.16.1.176,1.0,1612980741.0,100.0
90,172.16.1.187,172.16.1.205,2.0,1612980741.0,100.0
91,172.16.1.196,172.16.1.52,2.0,1612980741.0,100.0
92,172.16.1.205,172.16.1.187,2.0,1612980741.0,100.0
93,172.16.1.52,172.16.1.196,2.0,1612980741.0,100.0
94,172.16.1.52,50.230.35.38,6.0,1612980741.0,100.0
95,50.230.35.38,172.16.1.52,6.0,1612980741.0,100.0
96,172.16.1.168,172.16.1.238,1.0,1612980742.0,100.0
97,172.16.1.238,172.16.1.168,1.0,1612980742.0,100.0
98,172.16.1.168,172.16.1.176,1.0,1612980743.0,100.0
99,172.16.1.176,172.16.1.168,1.0,1612980743.0,100.0
100,172.16.1.157,172.16.1.168,4.0,1612980744.0,100.0
101,172.16.1.162,172.16.1.168,7.0,1612980744.0,100.0
102,172.16.1.168,172.16.1.157,4.0,1612980744.0,100.0
103,172.16.1.168,172.16.1.162,7.0,1612980744.0,100.0
104,172.16.1.168,172.16.1.176,1.0,1612980744.0,100.0
105,172.16.1.168,172.16.1.238,2.0,1612980744.0,100.0
106,172.16.1.176,172.16.1.168,1.0,1612980744.0,100.0
107,172.16.1.196,172.16.1.96,1.0,1612980744.0,100.0
108,172.16.1.238,172.16.1.168,2.0,1612980744.0,100.0
109,172.16.1.96,172.16.1.196,1.0,1612980744.0,100.0
110,172.16.1.96,23.95.222.129,1.0,1612980744.0,100.0
111,194.147.140.67,172.16.1.96,1.0,1612980744.0,0.0
112,23.95.222.129,172.16.1.96,1.0,1612980744.0,100.0
113,10.3.252.99,172.16.1.196,54.0,1612980745.0,100.0
114,172.16.1.178,172.16.1.224,1.0,1612980745.0,100.0
