,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised
0,172.16.1.196,172.16.1.52,5.0,2021-02-10 18:12:00,100.0,0,2.5241236888298634e-233
1,172.16.1.52,172.16.1.196,5.0,2021-02-10 18:12:00,100.0,0,2.5241236888298634e-233
2,172.16.1.52,50.230.35.38,4.0,2021-02-10 18:12:00,100.0,0,4.198755905440192e-234
3,50.230.35.38,172.16.1.52,4.0,2021-02-10 18:12:00,100.0,0,4.198755905440192e-234
4,10.3.252.99,172.16.1.196,5.0,2021-02-10 18:12:01,100.0,0,2.5241236888298634e-233
5,172.16.1.196,10.3.252.99,5.0,2021-02-10 18:12:01,100.0,0,2.5241236888298634e-233
6,172.16.1.196,172.16.1.52,4.0,2021-02-10 18:12:01,100.0,0,4.198755905440192e-234
7,172.16.1.196,172.16.1.96,1.0,2021-02-10 18:12:01,100.0,0,1.9326384367332043e-236
8,172.16.1.52,172.16.1.196,4.0,2021-02-10 18:12:01,100.0,0,4.198755905440192e-234
9,172.16.1.96,172.16.1.196,1.0,2021-02-10 18:12:01,100.0,0,1.9326384367332043e-236
10,172.16.1.178,172.16.1.224,2.0,2021-02-10 18:12:02,100.0,0,1.1618247333171717e-235
11,172.16.1.224,172.16.1.178,2.0,2021-02-10 18:12:02,100.0,0,1.1618247333171717e-235
12,172.16.1.10,140.82.113.4,1.0,2021-02-10 18:12:03,100.0,0,1.9326384367332043e-236
13,172.16.1.10,172.16.1.250,1.0,2021-02-10 18:12:03,100.0,0,1.9326384367332043e-236
14,172.16.1.241,172.16.1.10,1.0,2021-02-10 18:12:03,100.0,0,1.9326384367332043e-236
15,172.16.1.168,172.16.1.162,1.0,2021-02-10 18:12:04,100.0,0,1.9326384367332043e-236
16,172.16.1.144,172.16.1.173,1.0,2021-02-10 18:12:05,100.0,0,1.9326384367332043e-236
17,172.16.1.173,172.16.1.144,1.0,2021-02-10 18:12:05,100.0,0,1.9326384367332043e-236
18,10.3.252.20,172.16.1.181,1.0,2021-02-10 18:12:06,100.0,0,1.9326384367332043e-236
19,10.3.252.33,172.16.1.181,1.0,2021-02-10 18:12:06,100.0,0,1.9326384367332043e-236
20,172.16.1.181,10.3.252.20,1.0,2021-02-10 18:12:06,100.0,0,1.9326384367332043e-236
21,172.16.1.181,10.3.252.33,1.0,2021-02-10 18:12:06,100.0,0,1.9326384367332043e-236
22,172.16.1.196,172.16.1.52,1.0,2021-02-10 18:12:08,100.0,0,1.9326384367332043e-236
23,172.16.1.52,172.16.1.196,1.0,2021-02-10 18:12:08,100.0,0,1.9326384367332043e-236
24,172.16.1.52,50.230.35.38,11.0,2021-02-10 18:12:08,100.0,0,1.1913809808766901e-228
25,194.147.140.42,172.16.1.52,1.0,2021-02-10 18:12:08,0.0,0,3.0567502356567114e-263
26,50.230.35.38,172.16.1.52,11.0,2021-02-10 18:12:08,100.0,0,1.1913809808766901e-228
27,10.3.252.33,172.16.1.215,1.0,2021-02-10 18:12:09,100.0,0,1.9326384367332043e-236
28,10.3.252.33,172.16.1.215,3.0,2021-02-10 18:12:10,100.0,0,6.984424428757537e-235
29,140.82.113.4,172.16.1.252,1.0,2021-02-10 18:12:10,100.0,0,1.9326384367332043e-236
30,172.16.1.162,172.16.1.168,1.0,2021-02-10 18:12:10,100.0,0,1.9326384367332043e-236
31,172.16.1.168,172.16.1.162,1.0,2021-02-10 18:12:10,100.0,0,1.9326384367332043e-236
32,172.16.1.252,140.82.113.4,1.0,2021-02-10 18:12:10,100.0,0,1.9326384367332043e-236
33,172.16.1.10,172.16.1.173,1.0,2021-02-10 18:12:11,100.0,0,1.9326384367332043e-236
34,172.16.1.173,172.16.1.10,1.0,2021-02-10 18:12:11,100.0,0,1.9326384367332043e-236
35,172.16.1.215,10.3.252.33,1.0,2021-02-10 18:12:11,100.0,0,1.9326384367332043e-236
36,172.16.1.241,35.168.5.6,1.0,2021-02-10 18:12:11,100.0,0,1.9326384367332043e-236
37,35.168.5.6,172.16.1.241,1.0,2021-02-10 18:12:11,100.0,0,1.9326384367332043e-236
38,52.46.150.26,172.16.1.10,1.0,2021-02-10 18:12:11,100.0,0,1.9326384367332043e-236
39,10.3.252.99,172.16.1.196,16.0,2021-02-10 18:12:12,100.0,0,9.354071556549641e-225
40,172.105.197.151,172.16.1.109,1.0,2021-02-10 18:12:12,0.0,0,3.0567502356567114e-263
41,172.16.1.10,52.46.155.31,1.0,2021-02-10 18:12:12,100.0,0,1.9326384367332043e-236
42,172.16.1.109,172.16.1.250,2.0,2021-02-10 18:12:12,100.0,0,1.1618247333171717e-235
43,172.16.1.173,172.16.1.10,1.0,2021-02-10 18:12:12,100.0,0,1.9326384367332043e-236
44,172.16.1.196,10.3.252.99,16.0,2021-02-10 18:12:12,100.0,0,9.354071556549641e-225
45,172.16.1.196,172.16.1.52,3.0,2021-02-10 18:12:12,100.0,0,6.984424428757537e-235
46,172.16.1.196,172.16.1.96,1.0,2021-02-10 18:12:12,100.0,0,1.9326384367332043e-236
47,172.16.1.250,172.16.1.109,2.0,2021-02-10 18:12:12,100.0,0,1.1618247333171717e-235
48,172.16.1.52,172.16.1.196,3.0,2021-02-10 18:12:12,100.0,0,6.984424428757537e-235
49,172.16.1.96,172.16.1.196,1.0,2021-02-10 18:12:12,100.0,0,1.9326384367332043e-236
50,194.147.140.104,172.16.1.96,1.0,2021-02-10 18:12:12,0.0,0,3.0567502356567114e-263
51,45.146.164.211,172.16.1.96,1.0,2021-02-10 18:12:12,0.0,0,3.0567502356567114e-263
52,89.248.165.51,172.16.1.96,1.0,2021-02-10 18:12:12,0.0,0,3.0567502356567114e-263
53,172.16.1.173,172.16.1.198,1.0,2021-02-10 18:12:13,100.0,0,1.9326384367332043e-236
