,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised,likelihood
143,172.16.1.52,172.16.1.196,2410.0,2021-02-10 19:35:28,100.0,2,4.113271318740581e-28,100.0
144,172.16.1.196,172.16.1.52,2410.0,2021-02-10 19:35:28,100.0,2,4.113271318740581e-28,100.0
142,10.3.252.33,172.16.1.241,2034.0,2021-02-10 19:41:37,0.2458210422812203,2,1.63920956251403e-23,84.39834024896265
141,10.3.252.33,172.16.1.241,1965.0,2021-02-10 19:23:12,0.1526717557251913,2,3.4974743966425e-22,81.53526970954357
140,172.16.1.52,172.16.1.196,1866.0,2021-02-10 19:32:00,100.0,2,1.295982594606877e-17,77.42738589211619
139,172.16.1.196,172.16.1.52,1866.0,2021-02-10 19:32:00,100.0,2,1.295982594606877e-17,77.42738589211619
138,172.16.1.196,172.16.1.52,1782.0,2021-02-10 19:34:00,100.0,2,5.415985130357525e-16,73.94190871369295
137,172.16.1.52,172.16.1.196,1782.0,2021-02-10 19:34:00,100.0,2,5.415985130357525e-16,73.94190871369295
136,172.16.1.52,172.16.1.196,1746.0,2021-02-10 19:33:01,100.0,2,2.6817933145712126e-15,72.44813278008299
135,172.16.1.196,172.16.1.52,1746.0,2021-02-10 19:33:01,100.0,2,2.6817933145712126e-15,72.44813278008299
134,172.16.1.196,172.16.1.52,1716.0,2021-02-10 19:34:21,100.0,2,1.0171425852207961e-14,71.20331950207469
133,172.16.1.52,172.16.1.196,1716.0,2021-02-10 19:34:21,100.0,2,1.0171425852207961e-14,71.20331950207469
131,172.16.1.52,172.16.1.196,1634.0,2021-02-10 19:35:01,100.0,2,3.889224650437262e-13,67.80082987551867
132,172.16.1.196,172.16.1.52,1634.0,2021-02-10 19:35:01,100.0,2,3.889224650437262e-13,67.80082987551867
129,172.16.1.196,172.16.1.52,1622.0,2021-02-10 19:32:08,100.0,2,6.628963735963831e-13,67.30290456431536
130,172.16.1.52,172.16.1.196,1622.0,2021-02-10 19:32:08,100.0,2,6.628963735963831e-13,67.30290456431536
128,172.16.1.196,172.16.1.52,1582.0,2021-02-10 19:31:21,100.0,2,3.920917353348182e-12,65.64315352697095
127,172.16.1.52,172.16.1.196,1582.0,2021-02-10 19:31:21,100.0,2,3.920917353348182e-12,65.64315352697095
126,172.16.1.52,172.16.1.196,1564.0,2021-02-10 19:35:40,100.0,2,8.72492311104351e-12,64.89626556016597
125,172.16.1.196,172.16.1.52,1564.0,2021-02-10 19:35:40,100.0,2,8.72492311104351e-12,64.89626556016597
124,172.16.1.52,172.16.1.196,1562.0,2021-02-10 19:35:41,100.0,2,9.535834623431395e-12,64.81327800829875
123,172.16.1.196,172.16.1.52,1562.0,2021-02-10 19:35:41,100.0,2,9.535834623431395e-12,64.81327800829875
122,172.16.1.196,172.16.1.52,1558.0,2021-02-10 19:17:45,100.0,2,1.1390765603560185e-11,64.64730290456431
121,172.16.1.52,172.16.1.196,1558.0,2021-02-10 19:17:45,100.0,2,1.1390765603560185e-11,64.64730290456431
120,172.16.1.196,172.16.1.52,1508.0,2021-02-10 19:31:01,100.0,2,1.0507042073561097e-10,62.572614107883815
119,172.16.1.52,172.16.1.196,1508.0,2021-02-10 19:31:01,100.0,2,1.0507042073561097e-10,62.572614107883815
117,172.16.1.196,172.16.1.52,1468.0,2021-02-10 19:07:40,100.0,2,6.214733587082304e-10,60.912863070539416
118,172.16.1.52,172.16.1.196,1468.0,2021-02-10 19:07:40,100.0,2,6.214733587082304e-10,60.912863070539416
116,172.16.1.196,172.16.1.52,1446.0,2021-02-10 19:16:41,100.0,2,1.6519261965248322e-09,60.0
115,172.16.1.52,172.16.1.196,1446.0,2021-02-10 19:16:41,100.0,2,1.6519261965248322e-09,60.0
114,172.16.1.52,172.16.1.196,1361.0,2021-02-10 19:29:09,100.0,2,7.217178642805898e-08,56.47302904564315
113,172.16.1.196,172.16.1.52,1361.0,2021-02-10 19:29:09,100.0,2,7.217178642805898e-08,56.47302904564315
112,172.16.1.52,172.16.1.196,1357.0,2021-02-10 19:11:09,100.0,2,8.621079573173048e-08,56.30705394190871
111,172.16.1.196,172.16.1.52,1357.0,2021-02-10 19:11:09,100.0,2,8.621079573173048e-08,56.30705394190871
110,172.16.1.52,172.16.1.196,1356.0,2021-02-10 19:33:34,100.0,2,9.012809737439681e-08,56.2655601659751
109,172.16.1.196,172.16.1.52,1356.0,2021-02-10 19:33:34,100.0,2,9.012809737439681e-08,56.2655601659751
108,172.16.1.52,172.16.1.196,1352.0,2021-02-10 19:34:28,100.0,2,1.0766000607507373e-07,56.09958506224066
107,172.16.1.196,172.16.1.52,1352.0,2021-02-10 19:34:28,100.0,2,1.0766000607507373e-07,56.09958506224066
106,172.16.1.196,172.16.1.52,1342.0,2021-02-10 19:10:29,100.0,2,1.6789582044891665e-07,55.684647302904565
105,172.16.1.52,172.16.1.196,1342.0,2021-02-10 19:10:29,100.0,2,1.6789582044891665e-07,55.684647302904565
103,172.16.1.196,172.16.1.52,1332.0,2021-02-10 19:33:56,100.0,2,2.618335870660267e-07,55.26970954356847
104,172.16.1.52,172.16.1.196,1332.0,2021-02-10 19:33:56,100.0,2,2.618335870660267e-07,55.26970954356847
102,172.16.1.52,172.16.1.196,1330.0,2021-02-10 19:33:28,100.0,2,2.8616890860650464e-07,55.18672199170125
101,172.16.1.196,172.16.1.52,1330.0,2021-02-10 19:33:28,100.0,2,2.8616890860650464e-07,55.18672199170125
100,172.16.1.196,172.16.1.52,1324.0,2021-02-10 19:33:16,100.0,2,3.7360589136062803e-07,54.93775933609959
99,172.16.1.52,172.16.1.196,1324.0,2021-02-10 19:33:16,100.0,2,3.7360589136062803e-07,54.93775933609959
98,172.16.1.52,172.16.1.196,1322.0,2021-02-10 19:32:33,100.0,2,4.0832954345929656e-07,54.85477178423237
97,172.16.1.196,172.16.1.52,1322.0,2021-02-10 19:32:33,100.0,2,4.0832954345929656e-07,54.85477178423237
96,172.16.1.196,172.16.1.52,1320.0,2021-02-10 19:23:09,100.0,2,4.462804773135189e-07,54.77178423236515
95,172.16.1.52,172.16.1.196,1320.0,2021-02-10 19:23:09,100.0,2,4.462804773135189e-07,54.77178423236515
94,172.16.1.196,172.16.1.52,1312.0,2021-02-10 19:29:49,100.0,2,6.367899713089775e-07,54.439834024896264
93,172.16.1.52,172.16.1.196,1312.0,2021-02-10 19:29:49,100.0,2,6.367899713089775e-07,54.439834024896264
92,172.16.1.196,172.16.1.52,1308.0,2021-02-10 19:12:05,100.0,2,7.606596265390989e-07,54.273858921161825
91,172.16.1.52,172.16.1.196,1308.0,2021-02-10 19:12:05,100.0,2,7.606596265390989e-07,54.273858921161825
89,172.16.1.196,172.16.1.52,1304.0,2021-02-10 19:29:37,100.0,2,9.086246322563222e-07,54.107883817427386
90,172.16.1.52,172.16.1.196,1304.0,2021-02-10 19:29:37,100.0,2,9.086246322563222e-07,54.107883817427386
88,172.16.1.52,172.16.1.196,1302.0,2021-02-10 19:33:08,100.0,2,9.930739086170905e-07,54.024896265560166
87,172.16.1.196,172.16.1.52,1302.0,2021-02-10 19:33:08,100.0,2,9.930739086170905e-07,54.024896265560166
86,172.16.1.52,172.16.1.196,1296.0,2021-02-10 19:27:00,100.0,2,1.296500673278154e-06,53.77593360995851
85,172.16.1.196,172.16.1.52,1296.0,2021-02-10 19:27:00,100.0,2,1.296500673278154e-06,53.77593360995851
84,172.16.1.52,172.16.1.196,1294.0,2021-02-10 19:10:05,100.0,2,1.4169998248068395e-06,53.69294605809129
83,172.16.1.196,172.16.1.52,1294.0,2021-02-10 19:10:05,100.0,2,1.4169998248068395e-06,53.69294605809129
79,172.16.1.196,172.16.1.52,1292.0,2021-02-10 19:29:56,100.0,2,1.548698371238085e-06,53.60995850622407
77,172.16.1.52,172.16.1.196,1292.0,2021-02-10 19:33:20,100.0,2,1.548698371238085e-06,53.60995850622407
78,172.16.1.196,172.16.1.52,1292.0,2021-02-10 19:33:20,100.0,2,1.548698371238085e-06,53.60995850622407
81,172.16.1.52,172.16.1.196,1292.0,2021-02-10 19:29:56,100.0,2,1.548698371238085e-06,53.60995850622407
80,172.16.1.52,172.16.1.196,1292.0,2021-02-10 19:34:09,100.0,2,1.548698371238085e-06,53.60995850622407
82,172.16.1.196,172.16.1.52,1292.0,2021-02-10 19:34:09,100.0,2,1.548698371238085e-06,53.60995850622407
76,172.16.1.196,172.16.1.52,1284.0,2021-02-10 19:34:16,100.0,2,2.2098101472344562e-06,53.27800829875519
75,172.16.1.52,172.16.1.196,1284.0,2021-02-10 19:34:16,100.0,2,2.2098101472344562e-06,53.27800829875519
74,172.16.1.196,172.16.1.52,1284.0,2021-02-10 19:32:24,100.0,2,2.2098101472344562e-06,53.27800829875519
73,172.16.1.52,172.16.1.196,1284.0,2021-02-10 19:32:24,100.0,2,2.2098101472344562e-06,53.27800829875519
72,172.16.1.196,172.16.1.52,1282.0,2021-02-10 19:35:57,100.0,2,2.415193752093821e-06,53.19502074688797
71,172.16.1.52,172.16.1.196,1282.0,2021-02-10 19:35:56,100.0,2,2.415193752093821e-06,53.19502074688797
70,172.16.1.52,172.16.1.196,1282.0,2021-02-10 19:35:57,100.0,2,2.415193752093821e-06,53.19502074688797
69,172.16.1.196,172.16.1.52,1282.0,2021-02-10 19:35:56,100.0,2,2.415193752093821e-06,53.19502074688797
68,172.16.1.52,172.16.1.196,1280.0,2021-02-10 19:32:48,100.0,2,2.639666016606017e-06,53.11203319502075
67,172.16.1.52,172.16.1.196,1280.0,2021-02-10 19:12:17,100.0,2,2.639666016606017e-06,53.11203319502075
66,172.16.1.196,172.16.1.52,1280.0,2021-02-10 19:12:17,100.0,2,2.639666016606017e-06,53.11203319502075
65,172.16.1.196,172.16.1.52,1280.0,2021-02-10 19:32:48,100.0,2,2.639666016606017e-06,53.11203319502075
63,172.16.1.196,172.16.1.52,1278.0,2021-02-10 19:16:28,100.0,2,2.885001059569155e-06,53.02904564315353
64,172.16.1.52,172.16.1.196,1278.0,2021-02-10 19:16:28,100.0,2,2.885001059569155e-06,53.02904564315353
62,172.16.1.196,172.16.1.52,1276.0,2021-02-10 19:35:17,100.0,2,3.1531378862209917e-06,52.94605809128631
61,172.16.1.52,172.16.1.196,1276.0,2021-02-10 19:35:17,100.0,2,3.1531378862209917e-06,52.94605809128631
60,172.16.1.52,172.16.1.196,1270.0,2021-02-10 19:29:36,100.0,2,4.116554325787734e-06,52.69709543568465
59,172.16.1.52,172.16.1.196,1270.0,2021-02-10 19:30:48,100.0,2,4.116554325787734e-06,52.69709543568465
58,172.16.1.196,172.16.1.52,1270.0,2021-02-10 19:29:36,100.0,2,4.116554325787734e-06,52.69709543568465
57,172.16.1.196,172.16.1.52,1270.0,2021-02-10 19:30:48,100.0,2,4.116554325787734e-06,52.69709543568465
56,172.16.1.52,172.16.1.196,1266.0,2021-02-10 19:12:28,100.0,2,4.917311354794903e-06,52.53112033195021
55,172.16.1.196,172.16.1.52,1266.0,2021-02-10 19:12:28,100.0,2,4.917311354794903e-06,52.53112033195021
54,172.16.1.52,172.16.1.196,1263.0,2021-02-10 19:20:28,100.0,2,5.618534561428358e-06,52.40663900414938
53,172.16.1.196,172.16.1.52,1263.0,2021-02-10 19:20:28,100.0,2,5.618534561428358e-06,52.40663900414938
52,172.16.1.52,172.16.1.196,1250.0,2021-02-10 19:12:08,100.0,2,1.0011572885402966e-05,51.867219917012456
51,172.16.1.196,172.16.1.52,1250.0,2021-02-10 19:12:08,100.0,2,1.0011572885402966e-05,51.867219917012456
50,172.16.1.196,172.16.1.52,1244.0,2021-02-10 19:35:16,100.0,2,1.307050271586884e-05,51.6182572614108
49,172.16.1.52,172.16.1.196,1244.0,2021-02-10 19:35:16,100.0,2,1.307050271586884e-05,51.6182572614108
46,172.16.1.52,172.16.1.196,1240.0,2021-02-10 19:33:44,100.0,2,1.561296520989291e-05,51.45228215767634
45,172.16.1.52,172.16.1.196,1240.0,2021-02-10 19:32:56,100.0,2,1.561296520989291e-05,51.45228215767634
47,172.16.1.196,172.16.1.52,1240.0,2021-02-10 19:33:44,100.0,2,1.561296520989291e-05,51.45228215767634
